Rule	Period	dx	dy	dz	Iterations
UDUDLLRURL	34500	22	22	22	6067027
RRLRULRRRL	34418	38	38	0	4559111
UUULLLLDUL	34394	19	17	2	6574629
UUDULURLLL	34244	84	0	0	114806139
LRDRULLUL	34178	33	33	0	40750734
UULLULDLUL	34150	16	16	0	8189116
LRLUUURL	34122	35	14	3	7152719
ULURLLURUL	33788	32	0	0	4919456
UDRULLLURL	33734	31	31	0	101066893
UDUDLLULL	33602	34	31	23	7778412
DDRLRRDDRL	33388	24	0	0	5663412
LRDUURRRLL	33244	36	0	0	4595030
DRDLLDLDL	33104	36	0	0	132401780
UULLUURULL	33084	52	0	0	4193406
LLLULLDULL	32940	28	0	0	5989272
LUUUDLUUL	32692	56	0	0	5547067
UDULLULRLL	32470	33	33	0	4780006
LULUURUUL	32404	60	0	0	5531806
DUDUURLURL	32274	22	22	22	16400683
RUUURRRURL	32252	12	0	0	8964110
LULULRUUUL	32102	22	22	0	8191665
LLURUUULL	31974	36	36	36	7094699
LDLLLDLDUL	31868	56	0	0	4157305
DURDRRULUL	31828	37	19	10	5294578
RLURUULLLL	31686	16	16	16	8687649
LULLDUULLL	31616	19	11	2	7989999
LRLDDLUULL	31164	44	0	0	5201317
LUULDUUDUL	31156	44	0	0	4139367
ULUULURLUL	31054	17	17	0	95796294
DLDRLLLUL	31008	28	28	28	64364186
DUDUULULL	30914	36	36	0	7657821
LRLRDDDRUL	30876	32	32	32	4680750
LDLUDDUDUL	30822	32	32	32	8740969
RLRUULLRLL	30738	36	36	36	4430894
DDLLDDDDUL	30458	23	6	5	34662761
UDLDLLLDUL	30388	48	0	0	3970379
LRLRDLDDRL	30382	37	37	0	4727142
DDDLDDDRUL	30378	12	12	12	9462717
UDLUURLUUL	30360	22	22	22	6787719
ULULURLLUL	30276	26	26	26	6806842
LLDLLUUULL	30124	24	0	0	5575196
LLUDUUUULL	30000	38	38	38	4301573
DUDRRRUDRL	29870	35	35	0	4441589
LRLUURRRRL	29836	38	21	5	15757951
DURULDRUL	29676	40	0	0	6416840
RLRLURULUL	29572	68	0	0	3504165
UULUUDULUL	29548	60	0	0	3910212
UDULLDLRUL	29490	28	28	28	12502036
DDUDLLUDUL	29348	62	0	0	31353100
DUDLLLDULL	29342	36	36	0	34317402
DDUDDLLLUL	29316	34	34	34	4516555
LRLRRUDDRL	29304	18	18	18	6147969
DDRRUDDDRL	29280	24	24	24	46900501
RLRUUUULUL	29260	80	0	0	4010207
UDRRLLDUUL	29178	46	46	46	4516936
LLULUUDLUL	29054	30	30	0	8142845
UDURRRRURL	29036	120	0	0	3076369
DDUDRULRLL	28886	32	32	0	5973133
URULRRUULL	28884	48	0	0	3884644
LRDLDDDULL	28860	28	28	28	6265696
ULULLURUUL	28806	18	18	18	6124347
LRLLRDDLUL	28780	28	0	0	103417708
DUDUURDUUL	28772	96	0	0	4032466
ULULULDULL	28674	22	22	22	5451841
RRLRUULRLL	28536	34	34	34	85747640
LRDRULRRRL	28508	40	0	0	10564741
DUDUUUURUL	28464	40	40	40	22715684
LRURUULLRL	28388	76	0	0	62990726
LRLRDULUUL	28326	45	45	0	4283515
LRUUDULLUL	28312	56	0	0	4759288
DUDUULURL	28228	88	0	0	5381202
RRUDUURRUL	28170	26	26	26	5222526
DDDLLULLL	27938	14	14	0	19791122
DLLDUDLULL	27932	40	0	0	4352819
LRLUUDDURL	27726	28	28	28	4771682
ULULLLRRUL	27724	32	0	0	20302012
UDRRLRLDUL	27702	24	24	24	12465808
LUULDUUDL	27684	24	24	24	6688667
DUDUDRRRUL	27668	88	0	0	3709739
LLURLLLDUL	27582	32	32	32	4517020
DUDURRUDRL	27420	76	0	0	3594846
LLUUDDUUL	27408	20	20	20	9529180
LRURURRUL	27370	41	41	0	5961775
DUDLLURRL	27312	28	28	28	4695202
LLUURUL	27300	36	0	0	6684461
UUURDUUUUL	27154	27	3	2	5585817
RLRLRRULRL	27124	64	0	0	3543764
LLRLLLRUL	27120	28	28	28	62625358
ULLULURUUL	27084	16	0	0	53462248
LRLRDULL	27004	76	0	0	4128460
LDLUDDUL	26974	24	24	0	12832924
